"customTargetingKeyId","customerTargetingName","customTargetingDisplay","customTargetingType","customTargetingStatus","id","name","displayName","matchType","status"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765518787","bostonwhaler",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765519027","broward",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765519267","buddydavis",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765519507","burger",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765519747","c&c",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765519987","cabo",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765520227","capedory",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765520467","carver",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765520707","catalina",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765520947","chaparral",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765521187","chriscraft",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765521427","christianson",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765521667","cobalt",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765521907","contender",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765522147","cruisers",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765522387","customcarolina",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765522627","defever",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765522867","donzi",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765523107","duffy",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765523347","dufour",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765523587","edgewater",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765523827","eggharbor",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765524067","everglades",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765524307","fairline",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765524547","ferretti",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765524787","formula",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765525027","fourwinns",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765525267","gradywhite",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765525507","grandbanks",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765525747","gulfstar",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765525987","hallbergrassy",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765526227","hatteras",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765526467","henriques",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765526707","hinckley",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765526947","hunter",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765527187","hylas",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","115765527427","hyrdasports",,"EXACT","INACTIVE"
